"Fouls","Zweikampf","Passquote","CL"
293,109,87,"CL"
348,104,85,"CL"
289,100,89,"CL"
289,87,90,"CL"
415,106,86,"CL"
361,99,84,"CL"
329,104,83,"CL"
290,113,88,"CL"
311,106,88,"CL"
401,98,78,"CL"
341,107,87,"CL"
411,114,85,"CL"
303,112,87,"CL"
298,93,87,"CL"
457,111,79,"CL"
350,101,86,"CL"
415,96,82,"Nicht-CL"
440,108,80,"Nicht-CL"
316,98,83,"Nicht-CL"
348,100,84,"Nicht-CL"
421,94,78,"Nicht-CL"
393,93,83,"Nicht-CL"
391,96,80,"Nicht-CL"
402,99,76,"Nicht-CL"
403,102,79,"Nicht-CL"
473,107,78,"Nicht-CL"
446,111,82,"Nicht-CL"
403,103,82,"Nicht-CL"
427,99,77,"Nicht-CL"
411,95,73,"Nicht-CL"
337,105,85,"Nicht-CL"
314,96,88,"Nicht-CL"
382,108,84,"Nicht-CL"
310,90,87,"Nicht-CL"
329,97,87,"Nicht-CL"
394,101,79,"Nicht-CL"
442,103,82,"Nicht-CL"
327,91,84,"Nicht-CL"
435,91,80,"Nicht-CL"
455,104,79,"Nicht-CL"
400,115,83,"Nicht-CL"
434,101,83,"Nicht-CL"
383,97,80,"Nicht-CL"
321,94,85,"Nicht-CL"
411,104,74,"Nicht-CL"
405,98,83,"Nicht-CL"
371,112,80,"Nicht-CL"
364,112,87,"Nicht-CL"
420,104,84,"Nicht-CL"
437,112,82,"Nicht-CL"
507,109,77,"Nicht-CL"
372,99,82,"Nicht-CL"
419,105,80,"Nicht-CL"
454,97,81,"Nicht-CL"
479,106,75,"Nicht-CL"
359,101,85,"Nicht-CL"
412,115,81,"Nicht-CL"
383,112,82,"Nicht-CL"
424,93,77,"Nicht-CL"
373,108,78,"Nicht-CL"
404,106,80,"Nicht-CL"
387,104,80,"Nicht-CL"
453,108,75,"Nicht-CL"
352,97,75,"Nicht-CL"
392,105,78,"Nicht-CL"
389,110,85,"Nicht-CL"
394,106,81,"Nicht-CL"
470,110,80,"Nicht-CL"
